#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,0.0000,#N/A,0.0000
CPTY_A,2022-02-14,0.0384,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-02-28,0.0767,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-03-14,0.1151,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-03-28,0.1534,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-04-11,0.1918,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-04-25,0.2301,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-05-09,0.2685,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-05-23,0.3068,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-06-06,0.3452,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-06-21,0.3863,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-07-05,0.4247,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-07-18,0.4603,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-08-01,0.4986,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-08-15,0.5370,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-08-29,0.5753,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-09-12,0.6137,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-09-26,0.6521,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-10-11,0.6932,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-10-24,0.7288,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-11-07,0.7671,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-11-21,0.8055,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-12-05,0.8438,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2022-12-19,0.8822,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-01-03,0.9233,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-01-17,0.9616,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-01-30,0.9973,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-02-13,1.0356,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-02-27,1.0740,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-03-13,1.1123,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_A,2023-03-27,1.1507,0.0000,0.0000,0.0000,0.0000,0.0000
