#Key,Total,Count,Max,Min,Average
PNL_EXPLAIN|PNL|MPOR|buildMarket(),0,1,0,0,0.00
PNL_EXPLAIN|PNL|buildMarket(),0,1,0,0,0.00
PNL_EXPLAIN|PNL|buildPortfolio(),0,6,0,0,0.00
PNL_EXPLAIN|Run PNL_EXPLAINAnalytic,50000,1,50000,50000,50000.00
PNL_EXPLAIN|SENSI|buildMarket(),0,1,0,0,0.00
PNL_EXPLAIN|SENSI|buildPortfolio(),10000,1,10000,10000,10000.00
PNL_EXPLAIN|buildMarket(),0,1,0,0,0.00
PNL_EXPLAIN|buildPortfolio(),10000,1,10000,10000,10000.00
PRICING|Run PRICINGAnalytic,0,1,0,0,0.00
PRICING|buildMarket(),0,1,0,0,0.00
PRICING|buildPortfolio(),0,1,0,0,0.00
