#TradeTypes,Count
Ascot,1
BalanceGuaranteedSwap,1
Bond,12
BondOption,3
BondRepo,1
BondTRS,2
CallableBond,3
CallableSwap,1
CapFloor,13
CommodityAveragePriceOption,1
CommodityForward,1
CommodityOption,1
CommodityOptionStrip,2
CommoditySwap,3
CommoditySwaption,1
CommodityVarianceSwap,1
CompositeTrade,1
ContractForDifference,1
ConvertibleBond,2
CreditDefaultSwap,1
CreditLinkedSwap,1
CrossCurrencySwap,3
DoubleDigitalOption,1
EquityAccumulator,1
EquityAsianOption,1
EquityBarrierOption,1
EquityCliquetOption,1
EquityDigitalOption,1
EquityDoubleBarrierOption,1
EquityEuropeanBarrierOption,1
EquityForward,1
EquityOption,2
EquityOutperformanceOption,1
EquitySwap,3
EquityTaRF,1
EquityTouchOption,1
EquityVarianceSwap,1
EquityWorstOfBasketSwap,3
FlexiSwap,1
ForwardBond,10
ForwardRateAgreement,1
FxAccumulator,1
FxAverageForward,1
FxBarrierOption,1
FxDigitalBarrierOption,1
FxDigitalOption,1
FxDoubleBarrierOption,1
FxDoubleTouchOption,2
FxEuropeanBarrierOption,1
FxForward,1
FxGenericBarrierOption,1
FxKIKOBarrierOption,1
FxOption,2
FxSwap,1
FxTaRF,1
FxTouchOption,2
FxVarianceSwap,1
IndexCreditDefaultSwap,2
IndexCreditDefaultSwapOption,1
InflationSwap,3
KnockOutSwap,1
PerformanceOption_01,2
RiskParticipationAgreement,2
ScriptedTrade,7
Swap,44
Swaption,2
SyntheticCDO,1
TotalReturnSwap,9
