#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
BASE,,CPTY_A,70193.77,2643905.88,1261210.30,-10099.44,1356237.03,-11771.14,1417547.30,-12908.12,0.00,-26495.10,0.00,0.00,0.00,0.00,0.00,70193.77,2643905.88,None,0.00,0.00
BASE,BermSwp,CPTY_A,4151.25,112.59,47.80,-616.23,62.67,-696.14,73.65,-750.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52782.20,52785.42
BASE,CC_SWAP_EUR_USD,CPTY_A,47417.09,2664545.20,1271983.13,-7023.50,1366063.84,-7951.62,1426571.75,-8561.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
BASE,FX_CALL_OPTION,CPTY_A,15941.45,0.00,0.00,-2467.91,0.00,-2673.30,0.00,-2806.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,277286.77,277286.77
BASE,Swap_EUR,CPTY_A,35592.23,63885.16,29440.80,-5237.05,33622.08,-5968.61,36488.21,-6468.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,210962.59,211192.34
BASE,Swap_USD,CPTY_A,48823.65,47880.26,22222.44,-7242.15,25069.80,-8187.45,27005.20,-8828.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,328284.93,328284.93
eur_6m_up,,CPTY_A,96758.84,3127610.79,1496728.09,-13570.01,1600457.49,-16225.96,1667021.03,-18066.17,0.00,-26500.45,0.00,0.00,0.00,0.00,0.00,96758.84,3127610.79,None,0.00,0.00
eur_6m_up,BermSwp,CPTY_A,12971.43,71.96,30.40,-1926.11,40.19,-2175.24,47.45,-2344.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,159683.43,159683.43
eur_6m_up,CC_SWAP_EUR_USD,CPTY_A,36395.75,3394249.68,1624469.98,-5352.83,1736788.57,-6103.40,1808807.72,-6598.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
eur_6m_up,FX_CALL_OPTION,CPTY_A,15940.50,0.00,0.00,-2467.76,0.00,-2673.14,0.00,-2805.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,277282.16,277282.16
eur_6m_up,Swap_EUR,CPTY_A,177664.63,4080.84,1792.25,-26914.76,2220.46,-29793.41,2525.65,-31734.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3278040.43,3356038.86
eur_6m_up,Swap_USD,CPTY_A,48830.24,47880.37,22222.37,-7243.14,25069.96,-8188.55,27005.53,-8829.60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,328288.49,328288.49
eonia_up,,CPTY_A,151988.94,1430693.67,-2052071.88,-472621.25,-2207565.24,-536585.12,-2308069.24,-579142.49,0.00,-556027.18,0.00,0.00,0.00,0.00,0.00,151988.94,1430693.67,None,6202.09,6202.09
eonia_up,BermSwp,CPTY_A,2994.89,78.04,-99.70,-9370.95,-130.62,-10573.19,-153.42,-11392.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,38993.69,38993.69
eonia_up,CC_SWAP_EUR_USD,CPTY_A,129880.85,1441677.96,-2070158.75,-408921.95,-2222603.97,-458534.94,-2320678.84,-490981.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,2652.30,2652.30
eonia_up,FX_CALL_OPTION,CPTY_A,9224.07,0.00,0.00,-30069.09,0.00,-32564.85,0.00,-34178.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,161626.02,161626.02
eonia_up,Swap_EUR,CPTY_A,26774.61,47683.72,-66243.83,-83287.04,-75347.94,-94525.18,-81571.11,-102186.60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,176392.66,178765.49
eonia_up,Swap_USD,CPTY_A,48858.14,47876.94,-66827.97,-152575.16,-75394.29,-172489.01,-81217.26,-185991.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,332834.72,332834.72
no_shift,,CPTY_A,70193.77,2643905.88,1261210.30,-10099.44,1356237.03,-11771.14,1417547.30,-12908.12,0.00,-26495.10,0.00,0.00,0.00,0.00,0.00,70193.77,2643905.88,None,0.00,0.00
no_shift,BermSwp,CPTY_A,4151.25,112.59,47.80,-616.23,62.67,-696.14,73.65,-750.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52782.20,52785.42
no_shift,CC_SWAP_EUR_USD,CPTY_A,47417.09,2664545.20,1271983.13,-7023.50,1366063.84,-7951.62,1426571.75,-8561.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
no_shift,FX_CALL_OPTION,CPTY_A,15941.45,0.00,0.00,-2467.91,0.00,-2673.30,0.00,-2806.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,277286.77,277286.77
no_shift,Swap_EUR,CPTY_A,35592.23,63885.16,29440.80,-5237.05,33622.08,-5968.61,36488.21,-6468.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,210962.59,211192.34
no_shift,Swap_USD,CPTY_A,48823.65,47880.26,22222.44,-7242.15,25069.80,-8187.45,27005.20,-8828.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,328284.93,328284.93
